minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 17:31:30,0,OOM,0,OOM
2025-05-17 17:31:45,0,OOM,0,OOM
2025-05-17 17:32:00,0,OOM,0,OOM
2025-05-17 17:32:15,0,OOM,0,OOM
2025-05-17 17:32:30,0,OOM,0,OOM
2025-05-17 17:32:45,0,OOM,0,OOM
2025-05-17 17:33:00,0,OOM,0,OOM
2025-05-17 17:33:15,0,OOM,0,OOM
2025-05-17 17:33:30,0,OOM,0,OOM
2025-05-17 17:33:45,0,OOM,0,OOM
2025-05-17 17:34:00,0,OOM,0,OOM
2025-05-17 17:34:15,0,OOM,0,OOM
2025-05-17 17:34:30,0,OOM,0,OOM
2025-05-17 17:34:45,0,OOM,0,OOM
2025-05-17 17:35:00,0,OOM,0,OOM
2025-05-17 17:35:15,0,OOM,0,OOM
2025-05-17 17:35:30,0,OOM,0,OOM
2025-05-17 17:35:45,0,OOM,0,OOM
2025-05-17 17:36:00,0,OOM,0,OOM
2025-05-17 17:36:15,0,OOM,0,OOM
2025-05-17 18:21:45,0,OOM,0,OOM
2025-05-17 18:22:00,0,OOM,0,OOM
2025-05-17 18:22:15,0,OOM,0,OOM
2025-05-17 18:22:30,0,OOM,0,OOM
2025-05-17 18:22:45,0,OOM,0,OOM
2025-05-17 18:23:00,0,OOM,0,OOM
2025-05-17 18:23:15,0,OOM,0,OOM
2025-05-17 18:23:30,0,OOM,0,OOM
2025-05-17 18:23:45,0,OOM,0,OOM
2025-05-17 18:24:00,0,OOM,0,OOM
2025-05-17 18:24:15,0,OOM,0,OOM
2025-05-17 18:24:30,0,OOM,0,OOM
2025-05-17 18:24:45,0,OOM,0,OOM
2025-05-17 18:25:00,0,OOM,0,OOM
2025-05-17 18:25:15,0,OOM,0,OOM
2025-05-17 18:25:30,0,OOM,0,OOM
2025-05-17 18:25:45,0,OOM,0,OOM
2025-05-17 18:26:00,0,OOM,0,OOM
2025-05-17 18:26:15,0,OOM,0,OOM
2025-05-17 18:26:30,0,OOM,0,OOM
